podcast_id,title_podcast,category,content,rating,vader_sentiment,bert_sentiment,textrank_summary,t5_summary
a33a11a0bf8387ca729adf249c8a98db,I Crush Barbecue Show,arts-food,Been binge listening to all these podcasts and love them all. Lots of variety and have thoroughly enjoyed them all.,5,positive,positive,Been binge listening to all these podcasts and love them all. Lots of variety and have thoroughly enjoyed them all.,been binge listening to all these podcast
71f1096d3f171622e12da15928bdef6b,Twin Talk with the King Twins,arts,"This podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. They make it seem as if you’re having a discussion with them and seem like generally welcoming and warm people. Also, their viewpoints on life are fascinating, making for a great podcast. Definitely worth listening.",5,positive,positive,"This podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. Also, their viewpoints on life are fascinating, making for a great podcast. This is so great!!","this podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. they make it seem as if you"
71f1096d3f171622e12da15928bdef6b,Twin Talk with the King Twins,arts,This is so great!!,5,positive,positive,"This podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. Also, their viewpoints on life are fascinating, making for a great podcast. This is so great!!","this podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. they make it seem as if you"
71f1096d3f171622e12da15928bdef6b,Twin Talk with the King Twins,arts,I am hooked... I’m looking forward to learning more about these two. Their perspectives are intriguing.,5,neutral,positive,"This podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. Also, their viewpoints on life are fascinating, making for a great podcast. This is so great!!","this podcast is really unique because we are able to see what life is like living in NYC, having a twin, being in college, etc. they make it seem as if you"
bd1d8a2eef588c1d6be8ff3c2a1ee5c7,Tall Tale TV,fiction,"As a big fan of horror, sci-fi, and fiction anthology podcasts, and like media in general, I was really excited to have found this podcast after listening to a couple stories. Really appreciate the brief micro-genre descriptions for each story, wish more anthology podcasts would do that. 

Only thing I think would make this even better is a bit of subtle background music, and/or sounds, to help set the tone and atmosphere during parts of some stories. I’ve only listed to a couple so far though so could be wrong. Either way, really enjoying it!",5,positive,positive,"As a big fan of horror, sci-fi, and fiction anthology podcasts, and like media in general, I was really excited to have found this podcast after listening to a couple stories. Only thing I think would make this even better is a bit of subtle background music, and/or sounds, to help set the tone and atmosphere during parts of some stories. Really appreciate the brief micro-genre descriptions for each story, wish more anthology podcasts would do that.","horror, sci-fi, and fiction anthology podcasts . a bit of subtle background music and/or sounds would make this even better ."
bd1d8a2eef588c1d6be8ff3c2a1ee5c7,Tall Tale TV,fiction,Better than whipping with poison ivy 5/5,5,neutral,positive,"As a big fan of horror, sci-fi, and fiction anthology podcasts, and like media in general, I was really excited to have found this podcast after listening to a couple stories. Only thing I think would make this even better is a bit of subtle background music, and/or sounds, to help set the tone and atmosphere during parts of some stories. Really appreciate the brief micro-genre descriptions for each story, wish more anthology podcasts would do that.","horror, sci-fi, and fiction anthology podcasts . a bit of subtle background music and/or sounds would make this even better ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,"I stumbled upon these podcasts when I was looking for insight into the illustration and concept art industry, I found it and much more. I highly recomend anyone with similar interests check these out, they are at minimum full of uplifting advice for anyone struggling to find their place in such a highly competetive industry.",5,negative,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,Love this podcast!!! Often listen to episodes while I travel . Really keeps me motivated.,5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,"Chris Oatley's art cast is all inspirational, informative and helpful as you can get. Every episode gets me excited about all the new information and artists I'm going meet - it's always a very positive journey. So here it is, to keep company while you are alone in your studio - you couldn't get any better.",5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,"I have been listening to Chris Oatley’s podcasts (all of them: Artcast, Paper Wings, Stories Unbound.. is that all of them?) and they have really helped me grow as an artist and storyteller. It kept me company during the loneliest and dryest time in my art career and the warm and empathetic hosts felt like my friends. Thanks for continuing to make these, Chris and friends!",5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,"Chris Oatley’s podcast and the companion show, Paper Wings, is honestly such a great resource.  Not only does the show provide great, practical advice, ranging from portfolio tips to how to get a job in the industry, the show truly motivates me.  The show encourages you in whatever artistic endeavor you pursue and if you ever need an artistic pick-me-up, just give the podcast a listen.  You won’t regret it.  Whether you’re in animation, comic books, visual development, whatever, this show is awesome and helpful.",5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,Are you an aspiring artist who works a full time job he hates while working to become a digital artist with the rest of his time? Then listen to these during your lunch break on your iPod. They’re totally worth keeping up the inspiration!,5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,Chris Oatley is the best teacher I know and he really cares about helping artists. I have gotten so much great advice and inspiration from his podcasts. His guests have been awesome also. Keep up the great work Chris!,5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,I've already learned so much from this artcast. Probably more than I ever did in my art college. Do yourself a favor and listen to all of these!,5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
e2984116d5ec9faa9710680cb369d88e,The Oatley Academy ArtCast,arts-visual-arts,"This podcast's main purpose is to kindle/rekindle your passion to do art. Chris fills it with great information on becoming a better artist as well as inspiring you to get off your duff and do something amazing! I look forward to every episode! Keep it up, Chris!",5,positive,positive,"This and papers wings are really good for artists looking to get some practical tips to help there writing and to help pitch it This podcast is amazing at energizing and inspiring the youth in the art industry. This podcast has helped me grow and realize that all things are possible creatively, if your open to the work and diligence it will take to get you where you want to go. I look forward to listening to all that he has to say and I’m appreciative of his willingness to share it with the rest of us.","Chris Oatley's art cast is all inspirational, informative and helpful as you can get . every episode gets me excited about all the new information and artists I'm going meet ."
